model,precision,recall,f1,pr_auc,roc_auc,brier_score,ece,false_alarm_rate,true_negative,false_positive,false_negative,true_positive
random_forest_baseline,1.0,0.58,0.7341772151898734,0.9201138266965657,0.9383987915407854,0.04554506045432756,0.17718570023897345,0.0,662,0,21,29
soft_only_logistic,0.5735294117647058,0.78,0.6610169491525424,0.43768555739401704,0.956797583081571,0.08448310021886853,0.19144649452591572,0.04380664652567976,633,29,11,39
dual_branch_cross_attention_surrogate,0.9,0.9,0.9,0.9818257219617833,0.9986102719033233,0.008102248935000696,0.009042289226705974,0.0075528700906344415,657,5,5,45
